"","FECHA","HORA","CO","CO2","NO","NO2","NOX","O3"
"3849","05/08/2021",21,0.35,1,1,14,15,34
"2033","02/04/2021",19,0.17,1,1,13,13,21
"2624","01/05/2021",16,0.31,1,2,12,13,45
"1378","03/03/2021",8,0.2,1,1,14,15,24
"3900","08/08/2021",3,0.36,1,3,24,27,3
"2189","09/04/2021",14,0.37,2,1,12,13,71
"950","12/02/2021",3,0.41,1,7,12,19,7
"814","06/02/2021",5,0.39,1,2,24,25,21
"431","19/01/2021",24,0.58,1,6,39,45,13
"2226","11/04/2021",5,0.26,1,3,14,17,22
"4194","23/08/2021",14,0.21,1,1,7,8,57
"2884","13/05/2021",11,0.22,1,6,13,18,29
"2981","17/05/2021",18,0.31,1,1,14,15,58
"2069","04/04/2021",8,0.68,2,28,27,54,4
"72","04/01/2021",10,2.06,4,114,65,179,6
"4579","09/09/2021",4,0.3,0,2,18,20,10
"4893","22/09/2021",23,0.12,1,1,12,13,17
"1334","01/03/2021",8,2.24,5,118,46,163,2
"4351","30/08/2021",9,1.59,2,75,27,102,4
"4632","11/09/2021",12,0.07,1,2,5,6,55
"2758","08/05/2021",5,0.14,1,1,19,20,9
"3914","08/08/2021",17,0.87,1,10,34,44,16
"652","30/01/2021",2,0.3,4,2,19,21,20
"3375","03/06/2021",18,0.26,1,1,9,11,34
"2411","21/04/2021",20,0.64,2,2,23,25,29
"3629","14/06/2021",14,0.35,1,3,15,18,30
"902","09/02/2021",24,0.66,2,7,32,38,13
"234","11/01/2021",8,0.83,1,29,25,54,1
"87","05/01/2021",1,0.52,2,7,42,50,3
"2222","11/04/2021",1,0.2,1,1,9,10,30
"4427","02/09/2021",15,0.52,1,5,11,16,25
"1628","13/03/2021",23,0.37,1,2,20,22,26
"1266","26/02/2021",12,0.39,3,4,28,32,47
"26","02/01/2021",11,1.16,2,31,55,86,22
"2804","10/05/2021",3,0.1,1,0,12,12,24
"2818","10/05/2021",17,0.37,2,1,14,16,47
"2507","25/04/2021",23,0.39,2,2,31,33,18
"1511","08/03/2021",21,0.35,2,6,28,34,10
"3280","30/05/2021",12,0.21,2,1,12,13,67
"979","13/02/2021",12,0.2,1,1,4,5,26
"2444","23/04/2021",5,0.64,2,19,36,55,11
"5089","01/10/2021",12,0.06,1,1,4,5,40
"368","17/01/2021",9,1.32,2,47,28,74,2
"2638","02/05/2021",10,0.64,2,8,24,32,33
"2409","21/04/2021",18,0.47,2,1,13,14,48
"4409","01/09/2021",20,0.71,1,4,25,30,18
"4035","13/08/2021",21,0.63,0,3,24,27,21
"5119","02/10/2021",18,0.27,1,1,12,13,38
"2965","17/05/2021",2,0.09,1,0,7,7,33
"309","14/01/2021",22,0.48,17,7,31,38,4
"4695","14/09/2021",8,0.28,0,5,9,14,10
"3181","26/05/2021",8,0.6,2,14,30,44,9
"4065","15/08/2021",3,0.33,0,1,17,18,12
"3779","02/08/2021",22,0.33,1,4,21,25,10
"4700","14/09/2021",13,0.15,1,2,3,5,24
"838","07/02/2021",8,1.61,3,67,44,111,4
"2320","15/04/2021",6,0.41,1,7,40,47,5
"3512","09/06/2021",14,0.38,2,1,15,16,83
"28","02/01/2021",13,0.68,2,5,30,36,54
"969","12/02/2021",22,0.45,1,10,18,28,3
"1006","14/02/2021",15,0.3,1,1,7,8,39
"369","17/01/2021",10,1,2,23,27,50,9
"4511","06/09/2021",6,0.21,1,3,20,22,12
"1829","22/03/2021",17,0.21,1,0,9,10,47
"444","20/01/2021",16,0.31,7,1,12,13,43
"3029","19/05/2021",18,0.3,1,1,14,15,50
"45","03/01/2021",7,1.5,1,37,33,69,2
"1472","07/03/2021",6,0.31,2,5,29,34,4
"4261","26/08/2021",12,0.43,1,7,18,25,46
"4740","16/09/2021",5,0.68,2,11,21,32,1
"2833","11/05/2021",8,0.42,1,6,24,30,17
"1710","17/03/2021",14,0.24,7,1,14,15,58
"3448","06/06/2021",19,0.41,2,0,14,15,44
"4536","07/09/2021",7,0.4,1,10,30,40,3
"4426","02/09/2021",14,0.51,1,7,10,17,20
"1057","16/02/2021",19,0.41,1,3,14,17,30
"2353","19/04/2021",6,1.25,3,100,44,145,1
"1425","05/03/2021",7,1.03,2,42,41,83,1
"3088","22/05/2021",8,0.74,2,23,39,62,12
"288","13/01/2021",14,0.39,1,2,17,18,51
"2310","14/04/2021",20,0.29,2,2,26,28,32
"4904","23/09/2021",13,0.13,1,3,8,12,41
